issue | commit | # of files | # of (B,D,R,X,N) | final | first file | bug_types
535 | d0c3f01 | 14 | (13,0,1,0,0) | B | seeds_libxml2/dtd9 | bug_global-buffer-overflow^:13 
550 | 6273df6 | 14 | (0,0,0,0,14) | N |  | 
