issue | commit | # of files | # of (B,D,R,X,N) | final | first file | bug_types
535 | 9a82b94 | 14 | (13,0,1,0,0) | B | seeds_libxml2/dtd9 | bug_^global-buffer-overflow:13 
550 | 7e3f469 | 14 | (0,0,1,0,13) | R | seeds_libxml2/dtd12 | 
